id,【Adventure】,【Fantasy】,【Animation】,【Drama】,【Action】,【Comedy】,【Thriller】,【Crime】,【Science Fiction】,【Family】,【Columbia Pictures】,【Warner Bros】,【Universal Pictures】,【man】,【war】,【based on】,【release_date】,【revenue】,【runtime】
60,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0.813069455,0.274504204,0.661417323
61,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.81493652,0.114754508,0.173228346
62,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0.958177745,0.063982622,0.393700787
63,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.996340553,0.126080703,0.275590551
64,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.708289768,0.267010738,0.543307087
65,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.993203883,0.193368043,0.551181102
66,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0.779387603,0.35894235,0.614173228
67,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.801867065,0.262083349,0.173228346
68,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.797759522,0.134983301,0.157480315
69,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.773637043,0.208191838,0.409448819
70,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.870799104,0.064623331,0.409448819
71,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0.532561613,0.077684022,0.251968504
72,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0.998879761,0.265642301,0.385826772
73,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0.749290515,0.06003301,0.173228346
74,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0.939283047,0.131040558,0.307086614
75,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.425616131,0.09282202,0.480314961
76,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0.808065721,0.106571529,0.346456693
77,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.967513069,0.306121154,0.157480315
78,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.990141897,0.345280172,0.251968504
79,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.828005975,0.222124064,0.393700787
80,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.884988798,0.140407551,0.417322835
81,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.93935773,0.270509269,0.181102362
82,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0.941523525,0.253293007,0.440944882
83,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.92643764,0.052111472,0.354330709
84,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.93420463,0.25477469,0.488188976
85,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.829350261,0.268374485,0.149606299
86,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.965944735,0.073028927,0.440944882
87,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0.950485437,0.232250721,0.220472441
88,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.8965646,0.167231256,0.267716535
89,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.67901419,0.107796095,0.204724409
90,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.995817774,0.137920806,0.362204724
91,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.823973114,0.17573452,0.188976378
92,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0.641896938,0.154210692,0.275590551
93,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.944062733,0.27582522,0.37007874
94,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.951381628,0.240523466,0.748031496
95,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0.833756535,0.294590351,0.582677165
96,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.998581031,0.025525157,0.362204724
97,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.898431665,0.364889607,0.748031496
98,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0.586631815,0.0723566,0.251968504
99,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.789171023,0.117881142,0.724409449
100,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0.857206871,0.12495958,0.456692913
101,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.97961165,0.232726217,0.496062992
102,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.833681852,0.075232189,0.275590551
103,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0.719940254,0.063151232,0.196850394
104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.993726662,0.105457596,0.307086614
105,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0.747572816,0.285037931,0.149606299
106,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0.993726662,0.153735197,0.385826772
107,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.968558626,0.156224922,0.409448819
